抽卡时间	名称	类别	星级
2021-02-24 01:43:11	千岩长枪	武器	4
2021-03-05 01:48:36	飞天御剑	武器	3
2021-03-05 01:48:40	魔导绪论	武器	3
2021-03-05 01:48:43	鸦羽弓	武器	3
2021-03-05 01:48:45	鸦羽弓	武器	3
2021-03-05 01:48:49	以理服人	武器	3
2021-03-05 01:48:52	千岩古剑	武器	4
2021-03-06 02:01:00	黎明神剑	武器	3
2021-03-06 02:01:04	冷刃	武器	3
2021-03-06 02:01:08	讨龙英杰谭	武器	3
2021-03-06 02:01:11	讨龙英杰谭	武器	3
2021-03-06 23:44:34	鸦羽弓	武器	3
2021-03-09 01:05:09	沐浴龙血的剑	武器	3
2021-03-09 01:05:18	铁影阔剑	武器	3
2021-03-09 01:05:20	千岩长枪	武器	4
2021-03-09 01:05:26	冷刃	武器	3
2021-03-09 15:47:42	神射手之誓	武器	3
2021-03-09 15:47:49	飞天御剑	武器	3
2021-03-09 15:47:53	飞天御剑	武器	3
2021-03-11 15:46:27	飞天御剑	武器	3
2021-03-17 11:53:33	飞天御剑	武器	3
2021-03-17 11:53:37	神射手之誓	武器	3
2021-03-17 11:53:45	西风大剑	武器	4
2021-03-17 11:53:50	神射手之誓	武器	3
2021-03-17 11:53:55	沐浴龙血的剑	武器	3
2021-03-17 11:53:58	鸦羽弓	武器	3
2021-03-17 11:54:01	魔导绪论	武器	3
2021-03-17 11:54:04	黎明神剑	武器	3
2021-03-17 11:54:07	沐浴龙血的剑	武器	3
2021-03-17 11:54:10	黑缨枪	武器	3
2021-03-17 11:54:13	铁影阔剑	武器	3
2021-03-17 11:54:18	西风大剑	武器	4
2021-03-17 11:55:01	黑缨枪	武器	3
2021-03-17 11:55:07	翡玉法球	武器	3
2021-03-17 11:55:10	鸦羽弓	武器	3
2021-03-17 11:55:36	讨龙英杰谭	武器	3
2021-03-17 11:58:51	神射手之誓	武器	3
2021-03-18 15:11:52	以理服人	武器	3
2021-03-19 12:29:08	以理服人	武器	3
2021-07-21 11:21:09	迪奥娜	角色	4
2021-07-21 11:21:15	沐浴龙血的剑	武器	3
2021-07-21 11:21:18	弹弓	武器	3
2021-07-21 11:21:24	冷刃	武器	3
2021-07-21 11:22:33	神射手之誓	武器	3
2021-07-21 11:22:39	黑缨枪	武器	3
2021-07-21 14:54:07	黑缨枪	武器	3
2021-07-21 14:54:15	黑缨枪	武器	3
2021-07-21 14:54:31	西风剑	武器	4
2021-07-21 14:56:22	鸦羽弓	武器	3
