抽卡时间	名称	类别	星级
2021-01-28 10:11:34	铁影阔剑	武器	3
2021-02-03 10:13:02	鸦羽弓	武器	3
2021-02-03 10:13:02	飞天御剑	武器	3
2021-02-03 10:13:02	飞天御剑	武器	3
2021-02-03 10:13:02	魔导绪论	武器	3
2021-02-03 10:13:02	弓藏	武器	4
2021-02-03 10:13:02	飞天御剑	武器	3
2021-02-03 10:13:02	黑缨枪	武器	3
2021-02-03 10:13:02	沐浴龙血的剑	武器	3
2021-02-03 10:13:02	弹弓	武器	3
2021-02-03 10:13:02	铁影阔剑	武器	3
2021-02-03 10:13:11	铁影阔剑	武器	3
2021-02-03 10:13:11	沐浴龙血的剑	武器	3
2021-02-03 10:13:11	以理服人	武器	3
2021-02-03 10:13:11	鸦羽弓	武器	3
2021-02-03 10:13:11	以理服人	武器	3
2021-02-03 10:13:11	迪奥娜	角色	4
2021-02-03 10:13:11	讨龙英杰谭	武器	3
2021-02-03 10:13:11	弹弓	武器	3
2021-02-03 10:13:11	飞天御剑	武器	3
2021-02-03 10:13:11	沐浴龙血的剑	武器	3
2021-02-03 10:22:14	鸦羽弓	武器	3
2021-02-03 10:22:22	神射手之誓	武器	3
2021-02-03 10:22:39	七七	角色	5
2021-02-03 10:31:15	飞天御剑	武器	3
2021-02-03 10:31:15	黑缨枪	武器	3
2021-02-03 10:31:15	沐浴龙血的剑	武器	3
2021-02-03 10:31:15	沐浴龙血的剑	武器	3
2021-02-03 10:31:15	铁影阔剑	武器	3
2021-02-03 10:31:15	铁影阔剑	武器	3
2021-02-03 10:31:15	翡玉法球	武器	3
2021-02-03 10:31:15	鸦羽弓	武器	3
2021-02-03 10:31:15	弓藏	武器	4
2021-02-03 10:31:15	以理服人	武器	3
2021-02-03 10:31:22	黎明神剑	武器	3
2021-02-03 10:31:22	铁影阔剑	武器	3
2021-02-03 10:31:22	北斗	角色	4
2021-02-03 10:31:22	弹弓	武器	3
2021-02-03 10:31:22	黑缨枪	武器	3
2021-02-03 10:31:22	翡玉法球	武器	3
2021-02-03 10:31:22	翡玉法球	武器	3
2021-02-03 10:31:22	铁影阔剑	武器	3
2021-02-03 10:31:22	以理服人	武器	3
2021-02-03 10:31:22	北斗	角色	4
2021-02-03 10:31:29	铁影阔剑	武器	3
2021-02-03 10:31:29	迪奥娜	角色	4
2021-02-03 10:31:29	黎明神剑	武器	3
2021-02-03 10:31:29	神射手之誓	武器	3
2021-02-03 10:31:29	飞天御剑	武器	3
2021-02-03 10:31:29	以理服人	武器	3
2021-02-03 10:31:29	北斗	角色	4
2021-02-03 10:31:29	鸦羽弓	武器	3
2021-02-03 10:31:29	铁影阔剑	武器	3
2021-02-03 10:31:29	北斗	角色	4
2021-02-03 10:31:33	鸦羽弓	武器	3
2021-02-03 10:31:33	鸦羽弓	武器	3
2021-02-03 10:31:33	魔导绪论	武器	3
2021-02-03 10:31:33	翡玉法球	武器	3
2021-02-03 10:31:33	迪奥娜	角色	4
2021-02-03 10:31:33	弹弓	武器	3
2021-02-03 10:31:33	以理服人	武器	3
2021-02-03 10:31:33	飞天御剑	武器	3
2021-02-03 10:31:33	北斗	角色	4
2021-02-03 10:31:33	弹弓	武器	3
2021-02-03 10:31:39	黎明神剑	武器	3
2021-02-03 10:31:39	神射手之誓	武器	3
2021-02-03 10:31:39	铁影阔剑	武器	3
2021-02-03 10:31:39	翡玉法球	武器	3
2021-02-03 10:31:39	冷刃	武器	3
2021-02-03 10:31:39	黑缨枪	武器	3
2021-02-03 10:31:39	笛剑	武器	4
2021-02-03 10:31:39	弹弓	武器	3
2021-02-03 10:31:39	讨龙英杰谭	武器	3
2021-02-03 10:31:39	飞天御剑	武器	3
2021-02-03 10:32:37	以理服人	武器	3
2021-02-03 10:32:41	鸦羽弓	武器	3
2021-02-03 10:32:45	黎明神剑	武器	3
2021-02-03 10:32:51	神射手之誓	武器	3
2021-02-03 10:41:17	弹弓	武器	3
2021-02-03 10:41:17	黎明神剑	武器	3
2021-02-03 10:41:17	辛焱	角色	4
2021-02-03 10:41:17	魔导绪论	武器	3
2021-02-03 10:41:17	讨龙英杰谭	武器	3
2021-02-03 10:41:17	翡玉法球	武器	3
2021-02-03 10:41:17	讨龙英杰谭	武器	3
2021-02-03 10:41:17	讨龙英杰谭	武器	3
2021-02-03 10:41:17	铁影阔剑	武器	3
2021-02-03 10:41:17	弹弓	武器	3
2021-02-03 10:41:35	以理服人	武器	3
2021-02-03 10:41:41	北斗	角色	4
2021-02-03 10:41:45	铁影阔剑	武器	3
2021-02-03 10:41:49	迪奥娜	角色	4
2021-02-03 10:42:07	黎明神剑	武器	3
2021-02-03 10:42:11	翡玉法球	武器	3
2021-02-03 10:47:28	神射手之誓	武器	3
2021-02-03 10:47:33	弹弓	武器	3
2021-02-03 10:47:36	北斗	角色	4
2021-02-03 10:47:40	鸦羽弓	武器	3
2021-02-03 10:47:43	飞天御剑	武器	3
2021-02-03 10:47:46	铁影阔剑	武器	3
2021-02-03 10:48:24	魈	角色	5
2021-02-18 12:10:44	弹弓	武器	3
2021-02-18 12:10:44	冷刃	武器	3
2021-02-18 12:10:44	弹弓	武器	3
2021-02-18 12:10:44	飞天御剑	武器	3
2021-02-18 12:10:44	冷刃	武器	3
2021-02-18 12:10:44	西风猎弓	武器	4
2021-02-18 12:10:44	以理服人	武器	3
2021-02-18 12:10:44	弹弓	武器	3
2021-02-18 12:10:44	讨龙英杰谭	武器	3
2021-02-18 12:10:44	铁影阔剑	武器	3
2021-02-18 12:10:48	弹弓	武器	3
2021-02-18 12:10:48	冷刃	武器	3
2021-02-18 12:10:48	黑缨枪	武器	3
2021-02-18 12:10:48	凝光	角色	4
2021-02-18 12:10:48	砂糖	角色	4
2021-02-18 12:10:48	黑缨枪	武器	3
2021-02-18 12:10:48	凝光	角色	4
2021-02-18 12:10:48	黎明神剑	武器	3
2021-02-18 12:10:48	魔导绪论	武器	3
2021-02-18 12:10:48	鸦羽弓	武器	3
2021-02-18 12:10:52	黎明神剑	武器	3
2021-02-18 12:10:52	黑缨枪	武器	3
2021-02-18 12:10:52	铁影阔剑	武器	3
2021-02-18 12:10:52	铁影阔剑	武器	3
2021-02-18 12:10:52	冷刃	武器	3
2021-02-18 12:10:52	弹弓	武器	3
2021-02-18 12:10:52	黎明神剑	武器	3
2021-02-18 12:10:52	黑缨枪	武器	3
2021-02-18 12:10:52	翡玉法球	武器	3
2021-02-18 12:10:52	绝弦	武器	4
2021-02-18 12:10:55	以理服人	武器	3
2021-02-18 12:10:55	鸦羽弓	武器	3
2021-02-18 12:10:55	翡玉法球	武器	3
2021-02-18 12:10:55	鸦羽弓	武器	3
2021-02-18 12:10:55	铁影阔剑	武器	3
2021-02-18 12:10:55	凝光	角色	4
2021-02-18 12:10:55	黎明神剑	武器	3
2021-02-18 12:10:55	冷刃	武器	3
2021-02-18 12:10:55	神射手之誓	武器	3
2021-02-18 12:10:55	黑缨枪	武器	3
2021-02-18 12:12:16	沐浴龙血的剑	武器	3
2021-02-18 12:12:16	讨龙英杰谭	武器	3
2021-02-18 12:12:16	冷刃	武器	3
2021-02-18 12:12:16	芭芭拉	角色	4
2021-02-18 12:12:16	沐浴龙血的剑	武器	3
2021-02-18 12:12:16	黑缨枪	武器	3
2021-02-18 12:12:16	讨龙英杰谭	武器	3
2021-02-18 12:12:16	鸦羽弓	武器	3
2021-02-18 12:12:16	魔导绪论	武器	3
2021-02-18 12:12:16	鸦羽弓	武器	3
2021-02-18 12:12:27	以理服人	武器	3
2021-02-18 12:12:30	神射手之誓	武器	3
2021-02-18 12:12:32	冷刃	武器	3
2021-02-18 12:12:43	翡玉法球	武器	3
2021-02-18 12:18:17	魔导绪论	武器	3
2021-02-18 12:18:17	飞天御剑	武器	3
2021-02-18 12:18:17	弓藏	武器	4
2021-02-18 12:18:17	冷刃	武器	3
2021-02-18 12:18:17	弹弓	武器	3
2021-02-18 12:18:17	沐浴龙血的剑	武器	3
2021-02-18 12:18:17	凝光	角色	4
2021-02-18 12:18:17	飞天御剑	武器	3
2021-02-18 12:18:17	神射手之誓	武器	3
2021-02-18 12:18:17	铁影阔剑	武器	3
2021-02-18 12:18:30	鸦羽弓	武器	3
2021-02-18 12:18:32	弹弓	武器	3
2021-02-18 12:18:34	黎明神剑	武器	3
2021-02-18 12:18:37	魔导绪论	武器	3
2021-02-18 12:18:46	西风秘典	武器	4
2021-02-18 12:18:59	沐浴龙血的剑	武器	3
2021-02-18 12:23:06	铁影阔剑	武器	3
2021-02-19 01:04:13	铁影阔剑	武器	3
2021-03-05 01:47:36	翡玉法球	武器	3
2021-03-05 01:47:43	黑缨枪	武器	3
2021-03-05 01:47:48	冷刃	武器	3
2021-03-05 01:47:55	胡桃	角色	5
2021-03-12 17:47:36	飞天御剑	武器	3
2021-05-03 13:33:56	黑缨枪	武器	3
2021-05-03 13:33:56	迪奥娜	角色	4
2021-05-03 13:33:56	烟绯	角色	4
2021-05-03 13:33:56	黎明神剑	武器	3
2021-05-03 13:33:56	魔导绪论	武器	3
2021-05-03 13:33:56	神射手之誓	武器	3
2021-05-03 13:33:56	魔导绪论	武器	3
2021-05-03 13:33:56	翡玉法球	武器	3
2021-05-03 13:33:56	黎明神剑	武器	3
2021-05-03 13:33:56	黎明神剑	武器	3
2021-05-06 20:27:44	黎明神剑	武器	3
2021-05-06 20:27:47	魔导绪论	武器	3
2021-05-06 20:27:50	翡玉法球	武器	3
2021-05-06 20:27:52	神射手之誓	武器	3
2021-05-06 20:27:54	魔导绪论	武器	3
2021-05-06 20:28:08	迪奥娜	角色	4
2021-05-06 20:28:11	神射手之誓	武器	3
2021-06-14 13:22:27	翡玉法球	武器	3
2021-06-14 13:30:04	黎明神剑	武器	3
2021-06-14 13:30:04	黑缨枪	武器	3
2021-06-14 13:30:04	沐浴龙血的剑	武器	3
2021-06-14 13:30:04	讨龙英杰谭	武器	3
2021-06-14 13:30:04	翡玉法球	武器	3
2021-06-14 13:30:04	黎明神剑	武器	3
2021-06-14 13:30:04	讨龙英杰谭	武器	3
2021-06-14 13:30:04	流浪乐章	武器	4
2021-06-14 13:30:04	铁影阔剑	武器	3
2021-06-14 13:30:04	铁影阔剑	武器	3
2021-06-14 13:31:24	沐浴龙血的剑	武器	3
2021-06-14 14:45:05	菲谢尔	角色	4
2021-06-14 14:45:11	黑缨枪	武器	3
2021-06-14 14:45:41	黎明神剑	武器	3
2021-06-15 04:01:22	神射手之誓	武器	3
2021-06-15 04:01:27	沐浴龙血的剑	武器	3
2021-06-29 18:41:26	沐浴龙血的剑	武器	3
2021-06-29 18:41:32	飞天御剑	武器	3
2021-06-29 18:41:35	翡玉法球	武器	3
2021-06-29 20:56:11	神射手之誓	武器	3
2021-06-29 20:56:16	匣里灭辰	武器	4
2021-06-29 22:21:51	雷泽	角色	4
2021-06-29 22:21:56	飞天御剑	武器	3
2021-06-30 23:45:57	沐浴龙血的剑	武器	3
2021-06-30 23:46:03	铁影阔剑	武器	3
2021-07-01 01:13:31	黑缨枪	武器	3
2021-07-01 01:13:37	弹弓	武器	3
2021-07-01 01:13:44	弹弓	武器	3
2021-07-01 17:30:24	神射手之誓	武器	3
2021-07-01 17:45:52	黎明神剑	武器	3
2021-07-01 17:45:56	以理服人	武器	3
2021-07-01 17:52:19	西风长枪	武器	4
2021-07-01 22:51:30	魔导绪论	武器	3
2021-07-01 22:51:56	沐浴龙血的剑	武器	3
2021-07-06 18:35:02	魔导绪论	武器	3
2021-07-06 18:35:07	冷刃	武器	3
2021-07-06 18:35:10	讨龙英杰谭	武器	3
2021-07-10 22:38:41	黑缨枪	武器	3
2021-07-15 02:28:12	沐浴龙血的剑	武器	3
2021-07-15 02:28:18	飞天御剑	武器	3
2021-07-15 16:13:34	讨龙英杰谭	武器	3
2021-07-15 16:13:40	班尼特	角色	4
2021-07-16 13:20:46	沐浴龙血的剑	武器	3
2021-07-16 13:20:53	黑缨枪	武器	3
2021-07-16 23:15:11	神射手之誓	武器	3
2021-07-16 23:17:03	雷泽	角色	4
2021-07-21 11:14:25	魔导绪论	武器	3
2021-07-21 11:14:25	冷刃	武器	3
2021-07-21 11:14:25	魔导绪论	武器	3
2021-07-21 11:14:25	翡玉法球	武器	3
2021-07-21 11:14:25	翡玉法球	武器	3
2021-07-21 11:14:25	铁影阔剑	武器	3
2021-07-21 11:14:25	黎明神剑	武器	3
2021-07-21 11:14:25	烟绯	角色	4
2021-07-21 11:14:25	黑缨枪	武器	3
2021-07-21 11:14:25	黑缨枪	武器	3
2021-07-21 11:14:42	沐浴龙血的剑	武器	3
2021-07-21 11:14:49	弹弓	武器	3
2021-07-21 11:14:55	神里绫华	角色	5
2021-07-22 15:05:56	讨龙英杰谭	武器	3
2021-07-22 15:06:01	黎明神剑	武器	3
2021-07-22 15:06:04	黎明神剑	武器	3
2021-07-22 21:48:04	翡玉法球	武器	3
2021-07-22 21:48:09	魔导绪论	武器	3
2021-07-23 02:00:07	祭礼剑	武器	4
2021-07-23 04:12:27	鸦羽弓	武器	3
2021-07-23 04:23:30	黎明神剑	武器	3
2021-07-25 00:58:47	神射手之誓	武器	3
